,c1
2304,four people kwikemart style shop crazed creature splinter proves thats need chilling horror 
2305,terrifying 
2306,im ready sequel tension fear factor amped tenfold
2307,intical twins comic crime drama goes seriously wrong
2308,messy genre jumbling rhyme reason leaves grass
2309,a thoroughly inpenntly mind plays loose putting across big ias
2310,the picture loses mind abrasive hunt irreverence
2311,its violence bothers
2312,the mirror image gag olst book
2313,many clichés un odd mix guffaws philosophical analysis consirable violence surprisingly eruptsmost fun watching norton interact norton
2314,sandra shock bullock partners ryan reynolds
2315,this sort object lesson whats wrong comedy today 
2316, sparkling performances ryan reynolds nis ohare
2317,problem acting problem actors required say do
2318,sluggish scintillating sappy sardonic
2319,its impossible guess bullock ever attracted insulting role
2320,shamelessly rivative
2321,there spits lies small dogs mishaps
2322,the bar morn romcoms remains pressingly low
2323,the lazy
2324,theres no surprising here
2325,the proposal often lies flat spark
2326,think taming shrew wears prada
2327,a cut
2328, less original pedigree
2329,the here comes bribe relationship likable personalities mirrors ice cream c starts freezing cold liciously melts sizzling summer heat
2330,as embarrassing scene follows another
2331,sloppy lazy
2332,cookiecutter characters inhabit paperthin plot helplessly propelled cliché climax
2333,the troubling margarets punishment implication serves place
2334,pleasant time killer offering mindless entertainment appealing stars
2335, fine performances pretty scenery
2336,the recurrent noise towards end groaning disappointment
2337, moments likable leads
2338, jolly
2339,this turns another choice bullock
2340,for worse
2341,its proposals predictability thats main problem
2342,sight bullock rap dance granny woods traumatising experience
2343,familiar territory cruly traversed
2344,unfortunately
2345,its awful
2346,bunch strange character traits strung together reason quirk
2347,seriously indie directors still making painfully twee
2348,the protagonist might laidback practically disappears
2349,hard imagine any would build whole around paul dano any seeing 
2350,any go cynically  
2351,theres no really appealing funny people predicaments find themselves
2352,gigantic idiotic screenplay no fits together any else dimensional characters get knocked dimension progresses
2353,the story emotionally damaged terribly affected andprivileged unrachievers meet
2354,this entirely empty empty substance
2355,this worst writing year
2356,it fails either engage appeal big way
2357,theres single morately dissenting voice fuel either biodiesel bandwagon raping planet
2358,label slapped si mark tonrais lowbudget horror absolutely bearing silly contents
2359,hush becomes tight thriller waves flag british horror
2360,seems anguish sombre pth version old silent with garbo john gilbert garbo acts dignity bitter passion
2361,feels slow moody halloween crowd absurd silly discriminating horror fans
2362,orphan relentlessly mean entertaining
2363,a persuasive addition subgenre seedhorror like the omen creepy kid wreaks havoc murr lives illequipped adults
2364,i mind wasting hours watching truly ferocious furhman teach max play russian roulette snickering kate thinks google children kill
2365,surely writers david leslie johnson alex mace serve circle hell thinking story
2366,could interesting horror turns horrible
2367,fifty years ago viewers shocked riveted seed
2368,the problem orphan merely idioticits also sleazy
2369,thoroughly enjoyable monspawn tradition seed 
2370,here shamelessly effective horror based diabolical malefactors
2371,pristine horror fodr script maintained gumption cheerfully waltzed wonrland sleaze instead
2372,house wax director jaume colletserra returns horror genre orphan
2373,the scares often generic
2374,occasionally sinks ludicrousness
2375, kinky grand guignol moments scenes sheer terror quick killing box office though borrows  seed flick hollywood ever unleashed
2376,its cut spookykid 
2377,orphan contains terrifying intense horror endings seen years rest laughably 
2378,this poorly directed wannabe horror theless contains laughs proposal
2379,thats quite creepy premise horror story live to  testament level intensity tale troubled couple adopt yearold russian girl
2380,im almost offend im offend
2381,this orphan atmospheric occasionally vicious git aboveaverage entry cuddly hellspawn genre
2382,scared me twist works
2383,cent horror flick kid villain un hits familiar chase territory ad really ad ad end
2384,uncomfortable wrong
2385,idiotic antiadoption skates thin ice silly vicious story
2386,afraid horror creepy kids frightening u orphan
2387,its many outright pictions children jeopardy scary
2388,its bloody
2389,painfully predictable
2390,an entertaining addition evil child genre
2391,ill give credit absolutely see twist coming twist unconscionably fg stupid
2392,schlocky scary weird plot twist leave stunned
2393,would harr find dark joyless thriller market 
2394, angry
2395,its ia horror 
2396,this wickedly entertaining
2397,if easily offend upset
2398,some impressively committed work farmiga googling children kill humdinger twist rather  seed
2399,colletserra manages sustain tension throughout
2400,orphan nasty enjoyable
2401,orphan certainly scary story haunt over
2402,a welcome addition evil child subgenre
2403,theres some wrong esther says marketing tagline 
2404,nicely horror flick twist near end evil child directed
2405,sticking closely conventions evil child genre
2406,it atmosphere tension
2407,strange nasty esther consummate political player adly game unhappy families
2408,the amps tension laughable gree
2409,director jaume colletserra house wax endows ugly mess slew unintentional laughs
2410,difficult child horrorloving parents find hard adopt own
2411,rare fright flick actually ground genuine human emotion
2412, seedstyle horror gory ludicrous
2413,alas
2414,cidly amoral
2415,weak adult characters lame ending asi
2416,if huge fan evil kid subgenre horror flicks
2417,dump murrous psycho brat corny russian accent troubled mix got real horror show hands 
2418,directed crisply palpable air mids paranoia thriller
